Name,Credit Score Tier,Cashback,Points,APR,Annual Fee,Welcome Bonus
Capital One Quicksilver Cash Rewards Credit Card,Excellent,1.5% - 5%,No points,0%,$0,$200
Capital One Venture Rewards Credit Card,Excellent,No cash back,2x - 5x,No APR,$0,$915
Upgrade Cash Rewards Visa®,Excellent,1.5%,No points,No APR,$0,No welcome bonus
Chase Sapphire Preferred® Card,Excellent,No cash back,1x - 5x,No APR,$0,"100,000 Points"
Citi Simplicity® Card,Excellent,No cash back,No points,18.24% - 28.99%,$0,No welcome bonus
Citi® Diamond Preferred® Card,Excellent,No cash back,No points,17.24% - 27.99%,$0,No welcome bonus
Bank of America® Travel Rewards credit card,Excellent,No cash back,1.5x - 3x,No APR,$0,$250
Citi Double Cash® Card,Excellent,1% - 5%,No points,No APR,$0,$200
Bank of America® Customized Cash Rewards credit card,Excellent,1% - 3%,No points,No APR,$0,$200
Capital One Savor Cash Rewards Credit Card,Excellent,1% - 8%,No points,0%,$0,$200
Capital One Quicksilver Cash Rewards Credit Card,Good,1.5% - 5%,No points,0%,$0,$200
Upgrade Cash Rewards Visa®,Good,1.5%,No points,No APR,$0,No welcome bonus
Chase Sapphire Preferred® Card,Good,No cash back,1x - 5x,No APR,$0,"100,000 Points"
Capital One Savor Cash Rewards Credit Card,Good,1% - 8%,No points,0%,$0,$200
Petal® 2 Visa® Credit Card,Good,1% - 10%,No points,No APR,$0,No welcome bonus
The New United℠ Business Card,Good,No cash back,1x - 2x,No APR,$0,"125,000 Miles"
The New United Gateway℠ Card,Good,No cash back,1x - 2x,No APR,$0,$426
Southwest Rapid Rewards® Priority Credit Card,Good,No cash back,1x - 3x,No APR,$0,$675
Marriott Bonvoy Bold® Credit Card,Good,No cash back,1x - 14x,No APR,$0,$255
World Of Hyatt Credit Card,Good,No cash back,2x - 9x,No APR,$0,$513
Cerulean® Platinum Mastercard®,Fair,No cash back,No points,35.90%,$0,No welcome bonus
Upgrade Cash Rewards Visa®,Fair,1.5%,No points,No APR,$0,No welcome bonus
Prosper® Card,Fair,No cash back,No points,23.24% - 34.74%,$0,No welcome bonus
Milestone® Mastercard®,Fair,No cash back,No points,35.90%,$0,No welcome bonus
Upgrade Card Visa®,Fair,No cash back,No points,14.99% - 29.99%,$0,No welcome bonus
AvantCard,Fair,No cash back,No points,35.99%,$0,No welcome bonus
Capital One QuicksilverOne Cash Rewards Credit Card,Fair,1.5% - 5%,No points,No APR,$0,No welcome bonus
Credit One Bank® Platinum Visa® for Rebuilding Credit,Fair,1%,No points,No APR,$0,No welcome bonus
Capital One Platinum Credit Card,Fair,No cash back,No points,29.74%,$0,No welcome bonus
Mission Lane Cash Back Visa® Credit Card,Fair,1%,No points,No APR,$0,No welcome bonus
Milestone® Mastercard®,Bad,No cash back,No points,35.90%,$0,No welcome bonus
Credit One Bank® Platinum Visa®,Bad,1%,No points,No APR,$0,No welcome bonus
Prosper® Card,Bad,No cash back,No points,23.24% - 34.74%,$0,No welcome bonus
Credit One Bank® Platinum Visa® for Rebuilding Credit,Bad,1%,No points,No APR,$0,No welcome bonus
OpenSky® Secured Credit Visa® Card,Bad,10%,No points,24.64%,$0,No welcome bonus
First Progress Platinum Select Mastercard® Secured Credit Card,Bad,1%,No points,18.24%,$0,No welcome bonus
Indigo® Mastercard®,Bad,No cash back,No points,35.90%,$0,No welcome bonus
Destiny™ Mastercard®,Bad,No cash back,No points,35.90%,$0,No welcome bonus
Capital One Platinum Secured Credit Card,Bad,No cash back,No points,29.74%,$0,No welcome bonus
Merrick Bank Double Your Line®  Mastercard®,Bad,No cash back,No points,29.95%,$0,No welcome bonus
